Variable,Bin id,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Coefficient,Points
ELEVATORS_MODE,3,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.045,5.667
ELEVATORS_MODE,4,Missing,131025,0.533,119121,11904,0.091,-0.133,0.01,0.001,0.045,5.382
ENTRANCES_MODE,0,"(-inf, 0.09)",37175,0.151,34300,2875,0.077,0.043,0.0,0.0,0.534,6.765
ENTRANCES_MODE,1,"[0.09, 0.12)",16420,0.067,15238,1182,0.072,0.12,0.001,0.0,0.534,8.75
ENTRANCES_MODE,2,"[0.12, 0.16)",28839,0.117,26909,1930,0.067,0.199,0.004,0.001,0.534,10.756
ENTRANCES_MODE,3,"[0.16, inf)",39709,0.161,37247,2462,0.062,0.28,0.011,0.001,0.534,12.847
ENTRANCES_MODE,4,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.534,5.667
ENTRANCES_MODE,5,Missing,123865,0.503,112522,11343,0.092,-0.142,0.011,0.001,0.534,2.04
FLOORSMAX_MODE,0,"(-inf, 0.15)",26429,0.107,24117,2312,0.087,-0.091,0.001,0.0,-0.339,7.152
FLOORSMAX_MODE,1,"[0.15, 0.19)",52469,0.213,48750,3719,0.071,0.137,0.004,0.0,-0.339,3.442
FLOORSMAX_MODE,2,"[0.19, 0.35)",29587,0.12,27800,1787,0.06,0.308,0.01,0.001,-0.339,0.661
FLOORSMAX_MODE,3,"[0.35, inf)",15135,0.062,14382,753,0.05,0.513,0.013,0.002,-0.339,-2.671
FLOORSMAX_MODE,4,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.339,5.667
FLOORSMAX_MODE,5,Missing,122388,0.497,111167,11221,0.092,-0.143,0.011,0.001,-0.339,7.989
FLOORSMIN_MODE,0,"(-inf, 0.19)",26981,0.11,24899,2082,0.077,0.045,0.0,0.0,0.776,7.351
FLOORSMIN_MODE,1,"[0.19, 0.23)",27575,0.112,25615,1960,0.071,0.134,0.002,0.0,0.776,10.651
FLOORSMIN_MODE,2,"[0.23, inf)",24730,0.101,23332,1398,0.057,0.379,0.012,0.002,0.776,19.746
FLOORSMIN_MODE,3,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.776,5.667
FLOORSMIN_MODE,4,Missing,166722,0.678,152370,14352,0.086,-0.074,0.004,0.0,0.776,2.923
LANDAREA_MODE,0,"(-inf, 0.00)",14546,0.059,13626,920,0.063,0.259,0.004,0.0,-0.303,1.91
LANDAREA_MODE,1,"[0.00, 0.02)",12735,0.052,11704,1031,0.081,-0.007,0.0,0.0,-0.303,5.766
LANDAREA_MODE,2,"[0.02, 0.04)",21865,0.089,20235,1630,0.075,0.083,0.001,0.0,-0.303,4.47
LANDAREA_MODE,3,"[0.04, 0.08)",23587,0.096,21943,1644,0.07,0.155,0.002,0.0,-0.303,3.419
LANDAREA_MODE,4,"[0.08, 0.12)",14610,0.059,13671,939,0.064,0.242,0.003,0.0,-0.303,2.159
LANDAREA_MODE,5,"[0.12, inf)",12657,0.051,11884,773,0.061,0.296,0.004,0.0,-0.303,1.369
LANDAREA_MODE,6,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.303,5.667
LANDAREA_MODE,7,Missing,146008,0.594,133153,12855,0.088,-0.098,0.006,0.001,-0.303,7.095
LIVINGAPARTMENTS_MODE,0,"(-inf, 0.04)",13329,0.054,12189,1140,0.086,-0.067,0.0,0.0,-0.231,6.404
LIVINGAPARTMENTS_MODE,1,"[0.04, 0.09)",34181,0.139,31836,2345,0.069,0.172,0.004,0.0,-0.231,3.766
LIVINGAPARTMENTS_MODE,2,"[0.09, 0.17)",18063,0.073,16886,1177,0.065,0.227,0.003,0.0,-0.231,3.156
LIVINGAPARTMENTS_MODE,3,"[0.17, inf)",12408,0.05,11729,679,0.055,0.413,0.007,0.001,-0.231,1.105
LIVINGAPARTMENTS_MODE,4,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.231,5.667
LIVINGAPARTMENTS_MODE,5,Missing,168027,0.683,153576,14451,0.086,-0.073,0.004,0.0,-0.231,6.471
LIVINGAREA_MODE,0,"(-inf, 0.03)",23439,0.095,21350,2089,0.089,-0.112,0.001,0.0,-0.161,6.53
LIVINGAREA_MODE,1,"[0.03, 0.07)",37006,0.15,34378,2628,0.071,0.135,0.003,0.0,-0.161,4.626
LIVINGAREA_MODE,2,"[0.07, 0.14)",34505,0.14,32226,2279,0.066,0.213,0.006,0.001,-0.161,4.025
LIVINGAREA_MODE,3,"[0.14, 0.21)",12450,0.051,11723,727,0.058,0.344,0.005,0.001,-0.161,3.012
LIVINGAREA_MODE,4,"[0.21, inf)",15160,0.062,14359,801,0.053,0.45,0.01,0.001,-0.161,2.195
LIVINGAREA_MODE,5,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.161,5.667
LIVINGAREA_MODE,6,Missing,123448,0.502,112180,11268,0.091,-0.138,0.01,0.001,-0.161,6.733
NONLIVINGAPARTMENTS_MODE,0,"(-inf, 0.01)",58775,0.239,54681,4094,0.07,0.156,0.005,0.001,0.785,11.53
NONLIVINGAPARTMENTS_MODE,1,"[0.01, inf)",16575,0.067,15479,1096,0.066,0.212,0.003,0.0,0.785,13.631
NONLIVINGAPARTMENTS_MODE,2,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.785,5.667
NONLIVINGAPARTMENTS_MODE,3,Missing,170658,0.694,156056,14602,0.086,-0.067,0.003,0.0,0.785,3.14
NONLIVINGAREA_MODE,0,"(-inf, 0.00)",54838,0.223,50921,3917,0.071,0.129,0.004,0.0,-0.461,2.822
NONLIVINGAREA_MODE,1,"[0.00, 0.04)",36419,0.148,33922,2497,0.069,0.173,0.004,0.001,-0.461,1.85
NONLIVINGAREA_MODE,2,"[0.04, inf)",19074,0.078,17940,1134,0.059,0.325,0.007,0.001,-0.461,-1.516
NONLIVINGAREA_MODE,3,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.461,5.667
NONLIVINGAREA_MODE,4,Missing,135677,0.552,123433,12244,0.09,-0.126,0.009,0.001,-0.461,8.442
APARTMENTS_MEDI,0,"(-inf, 0.04)",22760,0.093,20751,2009,0.088,-0.101,0.001,0.0,0.543,3.033
APARTMENTS_MEDI,1,"[0.04, 0.08)",36584,0.149,34051,2533,0.069,0.162,0.004,0.0,0.543,9.889
APARTMENTS_MEDI,2,"[0.08, 0.18)",40362,0.164,37693,2669,0.066,0.212,0.007,0.001,0.543,11.172
APARTMENTS_MEDI,3,"[0.18, inf)",21497,0.087,20302,1195,0.056,0.396,0.012,0.001,0.543,15.981
APARTMENTS_MEDI,4,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.543,5.667
APARTMENTS_MEDI,5,Missing,124805,0.507,113419,11386,0.091,-0.138,0.01,0.001,0.543,2.089
